"Date","Price","Open","High","Low","Vol.","Change %"
"07-09-2023","19,690.50","19,572.10","19,703.00","19,533.15","618.33M","0.57%"
"06-09-2023","19,578.25","19,542.00","19,599.95","19,464.10","706.34M","0.24%"
"05-09-2023","19,531.20","19,525.15","19,542.80","19,482.20","536.71M","0.23%"
"04-09-2023","19,485.50","19,473.40","19,499.75","19,382.95","636.24M","0.53%"
"01-09-2023","19,382.95","19,212.90","19,403.75","19,210.15","582.62M","0.93%"
"31-08-2023","19,204.80","19,331.35","19,338.55","19,178.00","876.03M","-0.53%"
"30-08-2023","19,307.50","19,383.70","19,400.65","19,295.35","598.02M","0.08%"
"29-08-2023","19,291.25","19,311.70","19,313.15","19,259.45","508.56M","0.25%"
"28-08-2023","19,243.65","19,235.90","19,299.10","19,183.35","507.00M","0.26%"
"25-08-2023","19,193.90","19,242.55","19,278.50","19,162.70","685.64M","-0.67%"
"24-08-2023","19,323.35","19,458.35","19,504.20","19,306.65","470.35M","-0.20%"
"23-08-2023","19,362.55","19,371.35","19,397.00","19,302.70","448.65M","0.19%"
"22-08-2023","19,325.45","19,333.05","19,364.25","19,305.50","455.44M","0.11%"
"21-08-2023","19,303.40","19,224.05","19,333.20","19,205.25","408.73M","0.49%"
"18-08-2023","19,209.35","19,208.25","19,273.15","19,157.45","435.82M","-0.29%"
"17-08-2023","19,264.60","19,350.80","19,361.60","19,236.30","425.79M","-0.48%"
"16-08-2023","19,358.05","19,268.05","19,375.05","19,212.75","429.53M","0.14%"
"14-08-2023","19,330.80","19,313.45","19,363.55","19,153.70","455.06M","-0.15%"
"11-08-2023","19,359.00","19,482.30","19,484.40","19,343.25","461.19M","-0.53%"
"10-08-2023","19,463.10","19,535.55","19,548.90","19,423.50","564.71M","-0.47%"
"09-08-2023","19,554.75","19,510.60","19,565.70","19,403.05","511.72M","0.29%"
"08-08-2023","19,497.45","19,554.60","19,560.55","19,450.10","595.74M","-0.12%"
"07-08-2023","19,521.85","19,509.90","19,546.15","19,451.20","642.67M","0.38%"
"04-08-2023","19,448.75","19,394.75","19,472.50","19,378.40","866.02M","0.71%"
"03-08-2023","19,310.90","19,388.55","19,453.90","19,222.40","822.52M","-0.70%"
"02-08-2023","19,447.10","19,590.55","19,610.00","19,339.75","560.55M","-1.08%"
"01-08-2023","19,659.85","19,712.85","19,722.10","19,630.70","514.38M","-0.10%"
"31-07-2023","19,679.35","19,598.90","19,697.45","19,545.00","563.54M","0.50%"
"28-07-2023","19,580.65","19,576.65","19,606.45","19,498.55","584.48M","0.07%"
"27-07-2023","19,566.70","19,731.55","19,752.45","19,510.30","571.52M","-0.48%"
"26-07-2023","19,662.00","19,623.80","19,706.35","19,600.95","468.46M","0.49%"
"25-07-2023","19,566.90","19,593.75","19,593.75","19,491.05","613.06M","0.14%"
"24-07-2023","19,540.45","19,610.30","19,642.80","19,526.65","499.23M","-0.32%"
"21-07-2023","19,602.60","19,655.25","19,732.25","19,562.40","541.97M","-1.06%"
"20-07-2023","19,811.90","19,694.20","19,822.95","19,622.60","445.27M","0.62%"
"19-07-2023","19,690.70","19,658.65","19,706.80","19,596.60","433.19M","0.43%"
"18-07-2023","19,605.85","19,657.95","19,681.65","19,548.95","490.35M","0.11%"
"17-07-2023","19,584.80","19,500.35","19,602.80","19,457.75","455.26M","0.67%"
"14-07-2023","19,454.00","19,386.30","19,482.70","19,321.70","533.80M","0.77%"
"13-07-2023","19,304.85","19,400.35","19,466.40","19,275.40","673.36M","0.06%"
"12-07-2023","19,293.70","19,389.40","19,398.10","19,274.55","531.12M","-0.21%"
"11-07-2023","19,333.60","19,307.35","19,403.35","19,288.20","471.58M","0.49%"
"10-07-2023","19,239.80","19,299.00","19,316.90","19,213.50","437.53M","0.03%"
"07-07-2023","19,233.60","19,333.55","19,426.80","19,205.25","462.80M","-0.84%"
"06-07-2023","19,397.10","19,293.15","19,410.05","19,279.65","504.88M","0.51%"
"05-07-2023","19,297.95","19,295.35","19,317.60","19,239.85","441.78M","0.14%"
"04-07-2023","19,270.55","19,305.55","19,318.70","19,196.85","386.77M","0.24%"
"03-07-2023","19,223.85","19,159.95","19,243.10","19,148.55","450.40M","0.65%"
"30-06-2023","19,099.55","18,999.95","19,110.50","18,953.20","517.14M","1.05%"
